Order_ID,Category,Sub_Category,Region,Sales_Rep,Sales_Amount
O001,Electronics,Laptops,North,Alice,1200
O002,Electronics,Phones,South,Bob,800
O003,Furniture,Desks,East,Charlie,450
O004,Clothing,Shirts,West,Diana,150
O005,Electronics,Laptops,South,Alice,1300
O006,Furniture,Chairs,North,Bob,200
O007,Clothing,Shoes,East,Charlie,120
O008,Electronics,Phones,West,Diana,850
O009,Furniture,Desks,North,Alice,400
O010,Clothing,Shirts,South,Bob,160
O011,Electronics,Laptops,East,Charlie,1250
O012,Furniture,Chairs,West,Diana,220
O013,Clothing,Shoes,North,Alice,130
O014,Electronics,Phones,East,Bob,820
O015,Furniture,Desks,South,Charlie,480
O016,Clothing,Shirts,North,Diana,140
O017,Electronics,Laptops,West,Alice,1400
O018,Furniture,Chairs,East,Bob,210
O019,Clothing,Shoes,South,Charlie,125
O020,Electronics,Phones,North,Diana,900
O021,Furniture,Desks,West,Alice,420
O022,Clothing,Shirts,East,Bob,155
O023,Electronics,Laptops,South,Charlie,1350
O024,Furniture,Chairs,North,Diana,230
O025,Clothing,Shoes,West,Alice,145
O026,Electronics,Phones,South,Bob,880
O027,Furniture,Desks,East,Charlie,460
O028,Clothing,Shirts,North,Diana,170
O029,Electronics,Laptops,West,Alice,1100
O030,Furniture,Chairs,South,Bob,240
