Customer_ID,Rating,Support_Tickets,Subscription_Type,Tenure_Months,Region,Churn
C001,5,0,Enterprise,24,North,No
C002,2,4,Basic,3,South,Yes
C003,4,1,Premium,12,East,No
C004,1,6,Basic,2,West,Yes
C005,5,0,Enterprise,36,North,No
C006,3,2,Premium,6,South,No
C007,2,5,Basic,4,East,Yes
C008,5,0,Enterprise,48,West,No
C009,4,1,Premium,15,North,No
C010,1,7,Basic,1,South,Yes
C011,3,2,Premium,8,East,No
C012,2,4,Basic,5,West,Yes
C013,5,0,Enterprise,20,North,No
C014,4,1,Premium,18,South,No
C015,1,5,Basic,2,East,Yes
C016,5,0,Enterprise,30,West,No
C017,2,4,Basic,4,North,Yes
C018,4,1,Premium,14,South,No
C019,1,6,Basic,3,East,Yes
C020,3,2,Premium,9,West,No
C021,5,0,Enterprise,22,North,No
C022,2,5,Basic,6,South,Yes
C023,4,1,Premium,10,East,No
C024,1,8,Basic,1,West,Yes
C025,5,0,Enterprise,40,North,No
C026,3,2,Premium,7,South,No
C027,2,4,Basic,3,East,Yes
C028,5,0,Enterprise,25,West,No
C029,4,1,Premium,16,North,No
C030,1,7,Basic,2,South,Yes
